Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt15009428,2024-02-25,2024-02-25,,"Argylle","Argylle",https://www.imdb.com/title/tt15009428/,Movie,5.6,139,2024,"Action, Comedy, Thriller",85143,2024-02-02,"Matthew Vaughn"
2,tt13287846,2023-08-11,2024-02-25,"March 1, 2024","Napoleon","Napoleon",https://www.imdb.com/title/tt13287846/,Movie,6.4,158,2023,"Action, Adventure, Biography, Drama, History, War",159249,2023-11-22,"Ridley Scott"
3,tt5537002,2023-08-11,2024-02-25,"January 12, 2024","Killers of the Flower Moon","Killers of the Flower Moon",https://www.imdb.com/title/tt5537002/,Movie,7.6,206,2023,"Crime, Drama, History, Mystery, Romance, Western",262551,2023-10-20,"Martin Scorsese"
4,tt16431870,2024-02-25,2024-02-25,"December 15, 2023","The Family Plan","The Family Plan",https://www.imdb.com/title/tt16431870/,Movie,6.3,118,2023,"Action, Comedy",48526,2023-12-15,"Simon Cellan Jones"
5,tt13968674,2024-02-25,2024-02-25,"November 3, 2023","Fingernails","Fingernails",https://www.imdb.com/title/tt13968674/,Movie,5.8,113,2023,"Drama, Romance, Sci-Fi",8873,2023-11-03,"Christos Nikou"
6,tt25471950,2023-08-11,2023-08-11,"September 29, 2023","Flora and Son","Flora and Son",https://www.imdb.com/title/tt25471950/,Movie,7.0,97,2023,"Comedy, Music, Romance",14091,2023-09-29,"John Carney"
7,tt17007120,2023-08-11,2023-08-11,"July 28, 2023","The Beanie Bubble","The Beanie Bubble",https://www.imdb.com/title/tt17007120/,Movie,6.3,110,2023,"Comedy, Drama",9541,2023-07-28,"Kristin Gore, Damian Kulash"
8,tt15326988,2023-03-16,2023-03-16,"April 21, 2023","Ghosted","Ghosted",https://www.imdb.com/title/tt15326988/,Movie,5.8,116,2023,"Action, Adventure, Comedy, Romance",67354,2023-04-21,"Dexter Fletcher"
9,tt12758060,2023-03-16,2023-03-16,"March 31, 2023","Tetris","Tetris",https://www.imdb.com/title/tt12758060/,Movie,7.4,118,2023,"Biography, Drama, History, Thriller",89870,2023-03-31,"Jon S. Baird"
10,tt12573454,2023-03-16,2023-03-16,"February 17, 2023","Sharper","Sharper",https://www.imdb.com/title/tt12573454/,Movie,6.7,116,2023,"Crime, Drama, Thriller",32867,2023-02-17,"Benjamin Caron"
11,tt12530246,2023-03-16,2023-03-16,"December 9, 2022","Emancipation","Emancipation",https://www.imdb.com/title/tt12530246/,Movie,6.3,132,2022,"Action, Thriller",28373,2022-12-09,"Antoine Fuqua"
12,tt10999120,2022-10-12,2022-10-12,"November 18, 2022","Spirited","Spirited",https://www.imdb.com/title/tt10999120/,Movie,6.6,127,2022,"Comedy, Family, Fantasy, Musical",51273,2022-11-18,"Sean Anders"
13,tt10192406,2022-10-12,2022-10-12,"November 4, 2022","Causeway","Causeway",https://www.imdb.com/title/tt10192406/,Movie,6.6,94,2022,"Drama",23997,2022-11-04,"Lila Neugebauer"
14,tt15334032,2022-10-12,2022-10-12,"October 21, 2022","Raymond & Ray","Raymond & Ray",https://www.imdb.com/title/tt15334032/,Movie,6.2,105,2022,"Comedy, Drama",8709,2022-10-21,"Rodrigo García"
15,tt10268488,2022-08-25,2022-08-25,"September 30, 2022","The Greatest Beer Run Ever","The Greatest Beer Run Ever",https://www.imdb.com/title/tt10268488/,Movie,6.8,126,2022,"Adventure, Drama, War",30614,2022-09-30,"Peter Farrelly"
16,tt7214954,2021-11-21,2022-02-10,"August 5, 2022","Luck","Luck",https://www.imdb.com/title/tt7214954/,Movie,6.4,105,2022,"Animation, Adventure, Comedy, Family, Fantasy",30896,2022-08-05,"Peggy Holmes, Javier Abad"
17,tt14376344,2022-03-09,2022-03-09,"June 17, 2022","Cha Cha Real Smooth","Cha Cha Real Smooth",https://www.imdb.com/title/tt14376344/,Movie,7.3,107,2022,"Comedy, Drama",27860,2022-06-17,"Cooper Raiff"
18,tt2201261,2022-01-14,2022-01-14,"February 11, 2022","The Sky Is Everywhere","The Sky Is Everywhere",https://www.imdb.com/title/tt2201261/,Movie,5.6,103,2022,"Drama, Music, Romance",1932,2022-02-11,"Josephine Decker"
19,tt10095582,2021-11-09,2021-11-21,"January 14, 2022","The Tragedy of Macbeth","The Tragedy of Macbeth",https://www.imdb.com/title/tt10095582/,Movie,7.1,105,2021,"Drama, Mystery, Thriller",40783,2022-01-14,"Joel Coen"
20,tt13207508,2021-11-09,2024-02-25,"December 17, 2021","Swan Song","Swan Song",https://www.imdb.com/title/tt13207508/,Movie,6.8,116,2021,"Drama, Romance, Sci-Fi",17914,2021-12-17,"Benjamin Cleary"
21,tt3420504,2021-11-09,2024-02-25,"November 5, 2021","Finch","Finch",https://www.imdb.com/title/tt3420504/,Movie,6.9,115,2021,"Adventure, Drama, Sci-Fi",100465,2021-11-05,"Miguel Sapochnik"
22,tt7638556,2021-11-09,2024-02-25,"September 10, 2021","Come from Away","Come from Away",https://www.imdb.com/title/tt7638556/,Movie,8.5,106,2021,"Comedy, Drama, Musical",4054,2021-09-10,"Christopher Ashley"
23,tt10366460,2021-06-03,2024-02-25,"August 13, 2021","CODA","CODA",https://www.imdb.com/title/tt10366460/,Movie,8.0,111,2021,"Comedy, Drama, Music",171077,2021-08-13,"Sian Heder"
24,tt9130508,2021-06-03,2024-02-25,"March 12, 2021","Cherry","Cherry",https://www.imdb.com/title/tt9130508/,Movie,6.6,142,2021,"Biography, Crime, Drama",38543,2021-03-12,"Anthony Russo, Joe Russo"
25,tt6857376,2021-06-03,2024-02-25,"January 29, 2021","Palmer","Palmer",https://www.imdb.com/title/tt6857376/,Movie,7.3,110,2021,"Drama",45683,2021-01-29,"Fisher Stevens"
26,tt5198068,2021-06-03,2024-02-25,"December 11, 2020","Wolfwalkers","WolfWalkers",https://www.imdb.com/title/tt5198068/,Movie,8.0,103,2020,"Animation, Action, Adventure, Drama, Family, Fantasy, Thriller",40022,2020-11-13,"Tomm Moore, Ross Stewart"
27,tt9606374,2021-06-03,2024-02-25,"October 23, 2020","On the Rocks","On the Rocks",https://www.imdb.com/title/tt9606374/,Movie,6.4,96,2020,"Comedy, Drama, Romance",37338,2020-10-23,"Sofia Coppola"
28,tt6048922,2021-06-03,2024-02-25,"July 10, 2020","Greyhound","Greyhound",https://www.imdb.com/title/tt6048922/,Movie,7.0,91,2020,"Action, Drama, History, War",118965,2020-07-10,"Aaron Schneider"
29,tt6285944,2021-06-03,2024-02-25,"March 20, 2020","The Banker","The Banker",https://www.imdb.com/title/tt6285944/,Movie,7.3,120,2020,"Biography, Drama",37507,2020-03-20,"George Nolfi"
30,tt6348410,2021-06-03,2024-02-25,"December 9, 2019","Hala","Hala",https://www.imdb.com/title/tt6348410/,Movie,6.3,94,2019,"Drama",3123,2019-12-06,"Minhal Baig"
