Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt29033964,2024-02-25,2024-02-25,"December 8, 2023","Diary of a Wimpy Kid Christmas: Cabin Fever","Diary of a Wimpy Kid Christmas: Cabin Fever",https://www.imdb.com/title/tt29033964/,Movie,5.8,62,2023,"Animation, Adventure, Comedy, Family",1398,2023-12-08,"Luke Cormican"
2,tt5608166,2024-02-25,2024-02-25,"November 17, 2023","Dashing Through the Snow","Dashing Through the Snow",https://www.imdb.com/title/tt5608166/,Movie,5.6,92,2023,"Comedy, Family, Fantasy",3713,2023-11-17,"Tim Story"
3,tt16023442,2023-08-11,2023-08-11,"June 23, 2023","World's Best","World's Best",https://www.imdb.com/title/tt16023442/,Movie,5.4,101,2023,"Comedy, Family, Music, Musical",559,2023-06-23,"Roshan Sethi"
4,tt5264838,2023-08-11,2023-08-11,"May 12, 2023","Crater","Crater",https://www.imdb.com/title/tt5264838/,Movie,5.4,105,2023,"Adventure, Drama, Sci-Fi",4361,2023-05-12,"Kyle Patrick Alvarez"
5,tt5635026,2023-03-16,2023-03-16,"April 28, 2023","Peter Pan & Wendy","Peter Pan & Wendy",https://www.imdb.com/title/tt5635026/,Movie,4.4,106,2023,"Adventure, Family, Fantasy",28621,2023-04-28,"David Lowery"
6,tt17321230,2023-03-16,2023-03-16,"March 31, 2023","Prom Pact","Prom Pact",https://www.imdb.com/title/tt17321230/,Movie,6.4,99,2023,"Comedy, Family, Romance",3294,2023-03-31,"Anya Adams"
7,tt13650494,2023-03-16,2023-03-16,"March 10, 2023","Chang Can Dunk","Chang Can Dunk",https://www.imdb.com/title/tt13650494/,Movie,6.4,109,2023,"Drama, Family, Sport",1658,2023-03-10,"Jingyi Shao"
8,tt13623880,2023-03-16,2023-03-16,"December 9, 2022","Night at the Museum: Kahmunrah Rises Again","Night at the Museum: Kahmunrah Rises Again",https://www.imdb.com/title/tt13623880/,Movie,5.0,77,2022,"Animation, Adventure, Comedy, Family, Fantasy",2686,2022-12-09,"Matt Danner, Justin Lovell"
9,tt15847828,2023-03-16,2023-03-16,"December 2, 2022","Diary of a Wimpy Kid: Rodrick Rules","Diary of a Wimpy Kid: Rodrick Rules",https://www.imdb.com/title/tt15847828/,Movie,5.1,74,2022,"Animation, Comedy, Drama, Family",1727,2022-12-02,"Luke Cormican, Gino Nichele"
10,tt1596342,2022-08-25,2023-03-16,"November 18, 2022","Disenchanted","Disenchanted",https://www.imdb.com/title/tt1596342/,Movie,5.6,119,2022,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",27420,2022-11-18,"Adam Shankman"
11,tt11909878,2022-08-25,2022-08-25,"September 30, 2022","Hocus Pocus 2","Hocus Pocus 2",https://www.imdb.com/title/tt11909878/,Movie,6.0,103,2022,"Comedy, Family, Fantasy",54814,2022-09-30,"Anne Fletcher"
12,tt4593060,2022-08-25,2022-08-25,"September 8, 2022","Pinocchio","Pinocchio",https://www.imdb.com/title/tt4593060/,Movie,5.1,105,2022,"Adventure, Comedy, Drama, Family, Fantasy, Musical",43210,2022-09-08,"Robert Zemeckis"
13,tt14301252,2022-08-25,2022-08-25,"July 15, 2022","Zombies 3","Z-O-M-B-I-E-S 3",https://www.imdb.com/title/tt14301252/,Movie,5.4,88,2022,"Drama, Family, Musical, Romance",3726,2022-07-15,"Paul Hoen"
14,tt11242162,2022-08-25,2022-08-25,"June 24, 2022","Rise","Rise",https://www.imdb.com/title/tt11242162/,Movie,7.0,113,2022,"Biography, Drama, Sport",8496,2022-06-24,"Akin Omotoso"
15,tt19867058,2022-08-25,2022-08-25,"June 24, 2022","Trevor: The Musical","Trevor: The Musical",https://www.imdb.com/title/tt19867058/,Movie,5.9,113,2022,"Musical",425,2022-06-24,"Robin Abrams, Marc Bruni"
16,tt14109994,2022-08-25,2022-08-25,"June 3, 2022","Hollywood Stargirl","Hollywood Stargirl",https://www.imdb.com/title/tt14109994/,Movie,5.8,105,2022,"Comedy, Drama, Family, Musical, Romance",1350,2022-06-03,"Julia Hart"
17,tt3513500,2022-08-25,2022-08-25,"May 20, 2022","Chip 'n Dale: Rescue Rangers","Chip 'n Dale: Rescue Rangers",https://www.imdb.com/title/tt3513500/,Movie,6.9,97,2022,"Animation, Action, Adventure, Comedy, Crime, Family, Fantasy, Mystery, Sci-Fi",48044,2022-05-20,"Akiva Schaffer"
18,tt10160886,2021-11-21,2022-08-25,"May 13, 2022","Sneakerella","Sneakerella",https://www.imdb.com/title/tt10160886/,Movie,4.9,112,2022,"Comedy, Family, Musical",2068,2022-05-13,"Elizabeth Allen Rosenbaum"
19,tt14696284,2022-03-09,2022-03-09,"April 1, 2022","Better Nate Than Ever","Better Nate Than Ever",https://www.imdb.com/title/tt14696284/,Movie,6.4,94,2022,"Comedy, Drama, Family, Musical",3149,2022-04-01,"Tim Federle"
20,tt6705162,2022-02-10,2022-02-10,"March 18, 2022","Cheaper by the Dozen","Cheaper by the Dozen",https://www.imdb.com/title/tt6705162/,Movie,4.6,107,2022,"Comedy, Family",6972,2022-03-18,"Gail Lerner"
21,tt8097030,2022-01-14,2022-01-14,"March 11, 2022","Turning Red","Turning Red",https://www.imdb.com/title/tt8097030/,Movie,7.0,100,2022,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Music, Romance",159266,2022-03-11,"Domee Shi"
22,tt13634480,2021-11-21,2021-11-21,"January 28, 2022","The Ice Age Adventures of Buck Wild","The Ice Age Adventures of Buck Wild",https://www.imdb.com/title/tt13634480/,Movie,4.3,82,2022,"Animation, Adventure, Comedy, Family",17340,2022-01-28,"Marshall Fels Elliott, John C. Donkin"
23,tt13834480,2021-11-21,2021-11-21,"December 3, 2021","Diary of a Wimpy Kid","Diary of a Wimpy Kid",https://www.imdb.com/title/tt13834480/,Movie,5.1,59,2021,"Animation, Comedy, Drama, Family",4377,2021-12-03,"Gino Nichele, Swinton O. Scott III"
24,tt11012066,2021-11-21,2021-11-21,,"Home Sweet Home Alone","Home Sweet Home Alone",https://www.imdb.com/title/tt11012066/,Movie,3.6,93,2021,"Comedy, Crime, Family",20737,2021-11-12,"Dan Mazer"
25,tt12801262,2021-05-26,2021-05-26,,"Luca","Luca",https://www.imdb.com/title/tt12801262/,Movie,7.4,95,2021,"Animation, Adventure, Comedy, Drama, Family, Fantasy",202332,2021-06-18,"Enrico Casarosa"
26,tt8521736,2021-05-26,2021-05-26,,"Flora & Ulysses","Flora & Ulysses",https://www.imdb.com/title/tt8521736/,Movie,6.2,95,2021,"Adventure, Comedy, Family",6706,2021-02-19,"Lena Khan"
27,tt2948372,2021-05-26,2021-05-26,,"Soul","Soul",https://www.imdb.com/title/tt2948372/,Movie,8.0,100,2020,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Music",393660,2020-11-29,"Pete Docter, Kemp Powers"
28,tt10649016,2021-05-26,2021-05-26,,"Safety","Safety",https://www.imdb.com/title/tt10649016/,Movie,6.8,122,2020,"Biography, Drama, Sport",4967,2020-12-11,"Reginald Hudlin"
29,tt11681250,2021-05-26,2021-05-26,,"Godmothered","Godmothered",https://www.imdb.com/title/tt11681250/,Movie,6.1,110,2020,"Comedy, Drama, Family, Fantasy",14185,2020-12-04,"Sharon Maguire"
30,tt8484160,2021-05-26,2021-05-26,,"Black Beauty","Black Beauty",https://www.imdb.com/title/tt8484160/,Movie,6.4,110,2020,"Drama, Family",4463,2020-11-27,"Ashley Avis"
31,tt6473066,2021-05-26,2021-05-26,,"Clouds","Clouds",https://www.imdb.com/title/tt6473066/,Movie,7.5,121,2020,"Biography, Drama, Music",11953,2020-10-16,"Justin Baldoni"
32,tt10324122,2020-05-29,2020-05-29,,"Secret Society of Second Born Royals","Secret Society of Second-Born Royals",https://www.imdb.com/title/tt10324122/,Movie,5.0,99,2020,"Action, Adventure, Comedy, Family, Fantasy",6540,2020-09-25,"Anna Mastro"
33,tt1817232,2020-07-16,2020-07-16,,"Phineas and Ferb the Movie: Candace Against the Universe","Phineas and Ferb the Movie: Candace Against the Universe",https://www.imdb.com/title/tt1817232/,Movie,7.0,86,2020,"Animation, Adventure, Comedy, Family, Musical, Sci-Fi",5647,2020-08-28,"Bob Bowen"
34,tt3661394,2020-07-16,2020-07-16,,"The One and Only Ivan","The One and Only Ivan",https://www.imdb.com/title/tt3661394/,Movie,6.6,95,2020,"Adventure, Comedy, Drama, Family, Fantasy",13628,2020-08-21,"Thea Sharrock"
35,tt3979300,2021-05-26,2021-05-26,,"Magic Camp","Magic Camp",https://www.imdb.com/title/tt3979300/,Movie,6.3,100,2020,"Comedy, Family, Fantasy",4887,2020-08-14,"Mark Waters"
36,tt8503618,2020-05-14,2020-05-14,,"Hamilton","Hamilton",https://www.imdb.com/title/tt8503618/,Movie,8.3,160,2020,"Biography, Drama, History, Musical",119346,2020-07-03,"Thomas Kail"
37,tt3089630,2020-05-14,2020-05-14,,"Artemis Fowl","Artemis Fowl",https://www.imdb.com/title/tt3089630/,Movie,4.3,95,2020,"Adventure, Family, Fantasy, Sci-Fi",30740,2020-06-12,"Kenneth Branagh"
38,tt4858674,2020-05-14,2020-05-14,,"Stargirl","Stargirl",https://www.imdb.com/title/tt4858674/,Movie,6.2,107,2020,"Comedy, Drama, Family, Musical, Romance",6256,2020-03-13,"Julia Hart"
39,tt6820324,2020-05-14,2020-05-14,,"Timmy Failure: Mistakes Were Made","Timmy Failure: Mistakes Were Made",https://www.imdb.com/title/tt6820324/,Movie,6.0,99,2020,"Adventure, Comedy, Drama, Family, Fantasy",3423,2020-02-07,"Tom McCarthy"
40,tt5116302,2020-05-14,2020-05-14,,"Togo","Togo",https://www.imdb.com/title/tt5116302/,Movie,7.9,113,2019,"Adventure, Biography, Drama, Family, History",57366,2019-12-20,"Ericson Core"
41,tt5097410,2020-05-14,2020-05-14,,"Noelle","Noelle",https://www.imdb.com/title/tt5097410/,Movie,6.3,100,2019,"Comedy, Family, Fantasy",27423,2019-11-12,"Marc Lawrence"
42,tt8096832,2020-05-14,2020-05-14,,"Lady and the Tramp","Lady and the Tramp",https://www.imdb.com/title/tt8096832/,Movie,6.2,111,2019,"Adventure, Comedy, Family, Musical, Romance",24972,2019-11-12,"Charlie Bean"
