Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt25947954,2023-08-11,2023-08-11,,"Gray Matter","Gray Matter",https://www.imdb.com/title/tt25947954/,Movie,4.9,87,2023,"Drama, Sci-Fi, Thriller",1246,2023-07-13,"Meko Winbush"
2,tt14597532,2023-08-11,2023-08-11,,"Land of Gold","Land of Gold",https://www.imdb.com/title/tt14597532/,Movie,5.8,105,2022,"Drama",272,2023-05-15,"Nardeep Khurmi"
3,tt21950514,2023-03-16,2023-03-16,,"A Hollywood Christmas","A Hollywood Christmas",https://www.imdb.com/title/tt21950514/,TV Movie,5.2,91,2022,"Comedy, Drama, Romance",1504,2022-12-01,"Alex Ranarivelo"
4,tt22207152,2023-03-16,2023-03-16,,"A Christmas Mystery","A Christmas Mystery",https://www.imdb.com/title/tt22207152/,Movie,6.0,87,2022,"Comedy, Drama, Family, Mystery",1065,2022-11-24,"Alex Ranarivelo"
5,tt22814692,2023-03-16,2023-03-16,,"Holiday Harmony","Holiday Harmony",https://www.imdb.com/title/tt22814692/,Movie,6.2,110,2022,"Comedy, Drama, Music, Romance",1414,2022-11-24,"Shaun Paul Piccinino"
6,tt17220704,2023-03-16,2023-03-16,,"A Christmas Story Christmas","A Christmas Story Christmas",https://www.imdb.com/title/tt17220704/,Movie,6.7,98,2022,"Comedy, Family",18897,2022-11-17,"Clay Kaytis"
7,tt13249596,2022-08-25,2022-08-25,,"Father of the Bride","Father of the Bride",https://www.imdb.com/title/tt13249596/,Movie,5.9,117,2022,"Comedy, Drama, Romance",13673,2022-06-16,"Gary Alazraki"
8,tt12585076,2022-01-14,2022-08-25,,"Moonshot","Moonshot",https://www.imdb.com/title/tt12585076/,Movie,5.6,104,2022,"Comedy, Romance, Sci-Fi",6519,2022-03-31,"Christopher Winterbauer"
9,tt14128670,2022-01-14,2022-08-25,,"Kimi","Kimi",https://www.imdb.com/title/tt14128670/,Movie,6.3,89,2022,"Crime, Drama, Mystery, Thriller",39965,2022-02-10,"Steven Soderbergh"
10,tt11847410,2022-01-14,2022-08-25,,"The Fallout","The Fallout",https://www.imdb.com/title/tt11847410/,Movie,7.0,96,2021,"Drama",36028,2022-01-27,"Megan Park"
11,tt11540284,2021-09-03,2021-09-03,,"8-Bit Christmas","8-Bit Christmas",https://www.imdb.com/title/tt11540284/,Movie,6.7,97,2021,"Comedy, Family",21879,2021-11-24,"Michael Dowse"
12,tt11525644,2021-06-03,2021-06-03,,"No Sudden Move","No Sudden Move",https://www.imdb.com/title/tt11525644/,Movie,6.4,115,2021,"Crime, Drama, Mystery, Thriller",42096,2021-07-01,"Steven Soderbergh"
13,tt12361974,2021-06-03,2021-06-03,,"Zack Snyder's Justice League","Zack Snyder's Justice League",https://www.imdb.com/title/tt12361974/,Movie,7.9,242,2021,"Action, Adventure, Fantasy, Sci-Fi",447155,2021-03-18,"Zack Snyder"
14,tt13061914,2021-06-03,2021-06-03,,"Locked Down","Locked Down",https://www.imdb.com/title/tt13061914/,Movie,5.3,118,2021,"Comedy, Crime, Romance",13769,2021-01-14,"Doug Liman"
15,tt10808832,2021-06-03,2021-06-03,,"Let Them All Talk","Let Them All Talk",https://www.imdb.com/title/tt10808832/,Movie,6.1,113,2020,"Comedy, Drama",13314,2020-12-10,"Steven Soderbergh"
16,tt7178640,2021-06-03,2021-06-03,,"Superintelligence","Superintelligence",https://www.imdb.com/title/tt7178640/,Movie,5.4,106,2020,"Action, Comedy, Romance, Sci-Fi",13459,2020-11-26,"Ben Falcone"
17,tt0805647,2021-06-03,2021-06-03,,"The Witches","The Witches",https://www.imdb.com/title/tt0805647/,Movie,5.4,106,2020,"Adventure, Comedy, Family, Fantasy, Horror, Mystery",47739,2020-10-22,"Robert Zemeckis"
18,tt9048840,2021-06-03,2021-06-03,,"Charm City Kings","Twelve",https://www.imdb.com/title/tt9048840/,Movie,6.6,125,2020,"Drama",3105,2020-10-08,"Angel Manuel Soto"
19,tt10556022,2021-06-03,2021-06-03,,"Unpregnant","Unpregnant",https://www.imdb.com/title/tt10556022/,Movie,6.5,103,2020,"Comedy, Drama",10171,2020-09-10,"Rachel Lee Goldenberg"
20,tt9059704,2021-06-03,2021-06-03,,"An American Pickle","An American Pickle",https://www.imdb.com/title/tt9059704/,Movie,5.7,88,2020,"Comedy, Fantasy",27163,2020-08-06,"Brandon Trost"
