Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt5834204,2021-01-04,2021-01-04,,"The Handmaid's Tale","The Handmaid's Tale",https://www.imdb.com/title/tt5834204/,TV Series,8.4,60,2017,"Drama, Sci-Fi, Thriller",264369,2017-04-26,
2,tt9244556,2021-01-04,2021-01-04,,"Mrs. America","Mrs. America",https://www.imdb.com/title/tt9244556/,TV Mini Series,7.9,51,2020,"Biography, Drama, History",13864,2020-04-15,
3,tt8089592,2021-01-04,2021-01-04,,"Little Fires Everywhere","Little Fires Everywhere",https://www.imdb.com/title/tt8089592/,TV Mini Series,7.7,58,2020,"Drama, Mystery, Thriller",56832,2020-03-18,
4,tt5761478,2021-01-04,2021-01-04,,"Harlots","Harlots",https://www.imdb.com/title/tt5761478/,TV Series,7.7,45,2017,"Drama",10977,2017-03-29,
5,tt6474236,2021-01-04,2021-01-04,,"The Looming Tower","The Looming Tower",https://www.imdb.com/title/tt6474236/,TV Mini Series,8.0,41,2018,"Drama, History",18093,2018-02-28,
6,tt8962130,2021-01-04,2021-01-04,,"Shrill","Shrill",https://www.imdb.com/title/tt8962130/,TV Series,7.4,30,2019,"Comedy, Drama",9495,2019-03-15,
7,tt8577458,2021-01-04,2021-01-04,,"High Fidelity","High Fidelity",https://www.imdb.com/title/tt8577458/,TV Series,7.7,30,2020,"Comedy, Drama, Romance",16774,2020-02-14,
8,tt0412253,2021-01-04,2021-01-04,,"Veronica Mars","Veronica Mars",https://www.imdb.com/title/tt0412253/,TV Series,8.4,44,2004,"Crime, Drama, Mystery, Thriller",79257,2004-09-22,
9,tt7476236,2021-01-04,2021-01-04,,"Minding the Gap","Minding the Gap",https://www.imdb.com/title/tt7476236/,Movie,8.0,93,2018,"Documentary, Sport",10650,2018-08-17,"Bing Liu"
10,tt9484998,2021-01-04,2021-01-04,,"Palm Springs","Palm Springs",https://www.imdb.com/title/tt9484998/,Movie,7.4,90,2020,"Comedy, Fantasy, Mystery, Romance",190883,2020-07-10,"Max Barbakow"
11,tt3824648,2021-01-04,2021-01-04,,"Big Time Adolescence","Big Time Adolescence",https://www.imdb.com/title/tt3824648/,Movie,6.9,91,2019,"Comedy, Drama",16448,2020-03-13,"Jason Orley"
12,tt8633478,2021-01-04,2021-01-04,,"Run","Run",https://www.imdb.com/title/tt8633478/,Movie,6.7,90,2020,"Drama, Horror, Mystery, Thriller",100312,2020-11-20,"Aneesh Chaganty"
13,tt8522006,2021-01-04,2021-01-04,,"Happiest Season","Happiest Season",https://www.imdb.com/title/tt8522006/,Movie,6.6,102,2020,"Comedy, Romance",48248,2020-11-25,"Clea DuVall"
14,tt10266874,2021-01-04,2021-01-04,,"Helstrom","Helstrom",https://www.imdb.com/title/tt10266874/,TV Series,6.7,50,2020,"Action, Adventure, Drama, Fantasy, Horror",10360,2020-10-16,
15,tt1809362,2021-01-04,2021-01-04,,"The Confession","The Confession",https://www.imdb.com/title/tt1809362/,TV Mini Series,7.6,63,2011,"Action, Crime, Drama, Thriller",5685,2011-03-14,
16,tt2312036,2021-01-04,2021-01-04,,"East Los High","East Los High",https://www.imdb.com/title/tt2312036/,TV Series,6.9,26,2013,"Drama",878,2013-06-03,
17,tt2879552,2021-01-04,2021-01-04,,"11.22.63","11.22.63",https://www.imdb.com/title/tt2879552/,TV Mini Series,8.1,60,2016,"Drama, Mystery, Romance, Sci-Fi, Thriller",104084,2016-02-15,
18,tt4789576,2021-01-04,2021-01-04,,"The Path","The Path",https://www.imdb.com/title/tt4789576/,TV Series,7.2,60,2016,"Drama",9415,2016-03-30,
19,tt5875646,2021-01-04,2021-01-04,,"Freakish","Freakish",https://www.imdb.com/title/tt5875646/,TV Series,6.1,22,2016,"Action, Drama, Horror, Sci-Fi, Thriller",3164,2016-10-10,
20,tt5620076,2021-01-04,2021-01-04,,"Chance","Chance",https://www.imdb.com/title/tt5620076/,TV Series,7.6,60,2016,"Drama, Mystery, Thriller",11040,2016-10-19,
21,tt5520392,2021-01-04,2021-01-04,,"Shut Eye","Shut Eye",https://www.imdb.com/title/tt5520392/,TV Series,7.3,45,2016,"Crime, Drama, Fantasy",4048,2016-12-07,
22,tt1236246,2021-01-04,2021-01-04,,"Runaways","Runaways",https://www.imdb.com/title/tt1236246/,TV Series,6.8,60,2017,"Action, Drama, Sci-Fi",28840,2017-11-21,
23,tt6548228,2021-01-04,2021-01-04,,"Castle Rock","Castle Rock",https://www.imdb.com/title/tt6548228/,TV Series,7.5,60,2018,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",52777,2018-07-25,
24,tt8427140,2021-01-04,2021-01-04,,"Into the Dark","Into the Dark",https://www.imdb.com/title/tt8427140/,TV Series,6.4,90,2018,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",5576,2018-10-05,
25,tt8619822,2021-01-04,2021-01-04,,"Light as a Feather","Light as a Feather",https://www.imdb.com/title/tt8619822/,TV Series,6.5,23,2018,"Drama, Fantasy, Horror, Mystery, Thriller",4123,2018-10-12,
26,tt8682948,2021-01-04,2021-01-04,,"The Act","The Act",https://www.imdb.com/title/tt8682948/,TV Mini Series,7.8,53,2019,"Biography, Crime, Drama, Thriller",39521,2019-03-20,
27,tt9113406,2021-01-04,2021-01-04,,"Wu-Tang: An American Saga","Wu-Tang: An American Saga",https://www.imdb.com/title/tt9113406/,TV Series,8.3,49,2019,"Biography, Drama, Music",12124,2019-09-04,
28,tt3829868,2021-01-04,2021-01-04,,"Looking for Alaska","Looking for Alaska",https://www.imdb.com/title/tt3829868/,TV Mini Series,8.0,53,2019,"Drama, Romance",14934,2019-10-18,
29,tt8594028,2021-01-04,2021-01-04,,"Reprisal","Reprisal",https://www.imdb.com/title/tt8594028/,TV Series,7.4,51,2019,"Action, Crime, Drama, Thriller",4826,2019-12-06,
30,tt8134186,2021-01-04,2021-01-04,,"Devs","Devs",https://www.imdb.com/title/tt8134186/,TV Mini Series,7.6,51,2020,"Drama, Mystery, Sci-Fi, Thriller",50965,2020-03-05,
31,tt10404698,2021-01-04,2021-01-04,,"Monsterland","Monsterland",https://www.imdb.com/title/tt10404698/,TV Series,5.7,50,2020,"Drama, Fantasy, Horror, Mystery, Thriller",3336,2020-10-02,
32,tt10680614,2021-01-04,2021-01-04,,"A Teacher","A Teacher",https://www.imdb.com/title/tt10680614/,TV Mini Series,6.9,25,2020,"Drama",16097,2020-11-10,
33,tt11252090,2021-01-04,2021-01-04,,"The Hardy Boys","The Hardy Boys",https://www.imdb.com/title/tt11252090/,TV Series,7.0,45,2020,"Adventure, Drama, Family, Fantasy, Mystery",3676,2020-12-04,
34,tt2187319,2021-01-04,2021-01-04,,"Battleground","Battleground",https://www.imdb.com/title/tt2187319/,TV Series,7.7,22,2012,"Comedy, Drama",345,2012-02-14,
35,tt2883562,2021-01-04,2021-01-04,,"Quick Draw","Quick Draw",https://www.imdb.com/title/tt2883562/,TV Series,7.6,23,2013,"Comedy, Western",1634,2013-08-05,
36,tt3147316,2021-01-04,2021-01-04,,"Deadbeat","Deadbeat",https://www.imdb.com/title/tt3147316/,TV Series,7.3,22,2014,"Comedy, Fantasy",5542,2014-04-09,
37,tt4633166,2021-01-04,2021-01-04,,"The Hotwives of Las Vegas","The Hotwives of Las Vegas",https://www.imdb.com/title/tt4633166/,TV Series,6.9,30,2015,"Comedy",552,2015-08-18,
38,tt3453512,2021-01-04,2021-01-04,,"The Hotwives of Orlando","The Hotwives of Orlando",https://www.imdb.com/title/tt3453512/,TV Series,7.5,30,2014,"Comedy",1000,2014-07-15,
39,tt3432810,2021-01-04,2021-01-04,,"The Neighbors","The Neighbors",https://www.imdb.com/title/tt3432810/,TV Series,2.7,24,2014,"Comedy",567,2014-09-26,
40,tt4676574,2021-01-04,2021-01-04,,"Difficult People","Difficult People",https://www.imdb.com/title/tt4676574/,TV Series,7.1,30,2015,"Comedy",4667,2015-08-05,
41,tt4577466,2021-01-04,2021-01-04,,"Casual","Casual",https://www.imdb.com/title/tt4577466/,TV Series,7.5,25,2015,"Comedy, Drama",9577,2015-10-07,
42,tt4975856,2021-01-04,2021-01-04,,"Future Man","Future Man",https://www.imdb.com/title/tt4975856/,TV Series,7.6,30,2017,"Action, Adventure, Comedy, Fantasy, Sci-Fi",29403,2017-11-14,
43,tt7292950,2021-01-04,2021-01-04,,"All Night","All Night",https://www.imdb.com/title/tt7292950/,TV Series,6.0,24,2018,"Comedy",677,2018-05-11,
44,tt8324422,2021-01-04,2021-01-04,,"PEN15","PEN15",https://www.imdb.com/title/tt8324422/,TV Series,8.1,30,2019,"Comedy",14676,2019-02-08,
45,tt7649694,2021-01-04,2021-01-04,,"Ramy","Ramy",https://www.imdb.com/title/tt7649694/,TV Series,8.0,30,2019,"Comedy, Drama, Romance",16918,2019-04-19,
46,tt7587362,2021-01-04,2021-01-04,,"Four Weddings and a Funeral","Four Weddings and a Funeral",https://www.imdb.com/title/tt7587362/,TV Mini Series,7.2,60,2019,"Comedy, Romance",6459,2019-07-31,
47,tt7661046,2021-01-04,2021-01-04,,"Dollface","Dollface",https://www.imdb.com/title/tt7661046/,TV Series,7.4,29,2019,"Comedy",11256,2019-11-15,
48,tt2235759,2021-01-04,2021-01-04,,"The Great","The Great",https://www.imdb.com/title/tt2235759/,TV Series,8.1,52,2020,"Biography, Comedy, Drama, History",56712,2020-05-15,
