Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1365050,2020-01-02,2020-05-09,"English/Twi","Beasts of No Nation","Beasts of No Nation",https://www.imdb.com/title/tt1365050/,Movie,7.7,137,2015,"Drama, War",87979,2015-10-16,"Cary Joji Fukunaga"
2,tt2479478,2020-01-02,2020-01-02,,"The Ridiculous 6","The Ridiculous 6",https://www.imdb.com/title/tt2479478/,Movie,4.9,119,2015,"Action, Adventure, Comedy, Western",54700,2015-12-11,"Frank Coraci"
3,tt2652118,2020-01-02,2020-01-02,,"Crouching Tiger, Hidden Dragon: Sword of Destiny","Wo hu cang long: Qing ming bao jian",https://www.imdb.com/title/tt2652118/,Movie,6.1,96,2016,"Action, Adventure, Drama, Fantasy",21148,2016-02-26,"Woo-Ping Yuen"
4,tt0837156,2020-01-02,2020-01-02,,"Pee-wee's Big Holiday","Pee-wee's Big Holiday",https://www.imdb.com/title/tt0837156/,Movie,6.1,90,2016,"Comedy, Family",9243,2016-03-18,"John Lee"
5,tt4181052,2020-01-02,2020-01-02,,"Special Correspondents","Special Correspondents",https://www.imdb.com/title/tt4181052/,Movie,5.9,101,2016,"Comedy",26686,2016-04-29,"Ricky Gervais"
6,tt4769836,2020-01-02,2020-01-02,,"The Do-Over","The Do-Over",https://www.imdb.com/title/tt4769836/,Movie,5.7,108,2016,"Action, Adventure, Comedy, Mystery",52635,2016-05-27,"Steven Brill"
7,tt2452386,2020-01-02,2020-01-02,,"The Fundamentals of Caring","The Fundamentals of Caring",https://www.imdb.com/title/tt2452386/,Movie,7.3,97,2016,"Comedy, Drama",81323,2016-06-24,"Rob Burnett"
8,tt5240748,2020-01-02,2020-01-02,,"Brahman Naman","Brahman Naman",https://www.imdb.com/title/tt5240748/,Movie,5.5,95,2016,"Comedy",2040,2016-07-07,"Qaushiq Mukherjee"
9,tt4902716,2020-01-02,2020-01-02,,"Rebirth","Rebirth",https://www.imdb.com/title/tt4902716/,Movie,5.0,100,2016,"Thriller",5932,2016-07-15,"Karl Mueller"
10,tt1639084,2020-01-02,2020-01-02,,"Tallulah","Tallulah",https://www.imdb.com/title/tt1639084/,Movie,6.7,111,2016,"Comedy, Drama, Romance",21733,2016-07-29,"Sian Heder"
11,tt1754656,2020-05-29,2020-05-29,,"The Little Prince","Le petit prince",https://www.imdb.com/title/tt1754656/,Movie,7.6,108,2015,"Animation, Adventure, Drama, Family, Fantasy, Sci-Fi",67674,2016-08-05,"Mark Osborne"
12,tt4855748,2020-01-02,2020-01-02,,"XOXO","XOXO",https://www.imdb.com/title/tt4855748/,Movie,5.3,92,2016,"Drama, Music",7338,2016-08-26,"Christopher Louie"
13,tt5640450,2020-01-02,2020-01-02,,"ARQ","ARQ",https://www.imdb.com/title/tt5640450/,Movie,6.3,88,2016,"Action, Sci-Fi, Thriller",42390,2016-09-16,"Tony Elliott"
14,tt3922798,2020-01-02,2020-01-02,,"The Siege of Jadotville","The Siege of Jadotville",https://www.imdb.com/title/tt3922798/,Movie,7.2,108,2016,"Action, Drama, History, Thriller, War",45341,2016-10-07,"Richie Smyth"
15,tt4936176,2020-01-02,2020-01-02,,"Mascots","Mascots",https://www.imdb.com/title/tt4936176/,Movie,5.8,89,2016,"Comedy",8205,2016-10-13,"Christopher Guest"
16,tt5059406,2020-01-02,2020-01-02,,"I Am the Pretty Thing That Lives in the House","I Am the Pretty Thing That Lives in the House",https://www.imdb.com/title/tt5059406/,Movie,4.6,89,2016,"Drama, Horror, Mystery, Thriller",16695,2016-10-28,"Osgood Perkins"
17,tt1542768,2020-01-02,2020-01-02,,"True Memoirs of an International Assassin","True Memoirs of an International Assassin",https://www.imdb.com/title/tt1542768/,Movie,5.9,98,2016,"Action, Comedy, Crime",24688,2016-11-11,"Jeff Wadlow"
18,tt5710042,2020-03-19,2020-03-19,,"Mercy","Mercy",https://www.imdb.com/title/tt5710042/,Movie,4.2,90,2016,"Drama, Mystery, Thriller",3733,2016-11-22,"Chris Sparling"
19,tt2106651,2020-01-02,2020-01-02,,"Spectral","Spectral",https://www.imdb.com/title/tt2106651/,Movie,6.3,107,2016,"Action, Adventure, Sci-Fi",66005,2016-12-09,"Nic Mathieu"
