Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt10931784,2022-10-12,2022-10-12,"November 23, 2022","Nanny","Nanny",https://www.imdb.com/title/tt10931784/,Movie,5.3,99,2022,"Drama, Horror",8394,2022-12-16,"Nikyatu Jusu"
2,tt8656686,2022-10-12,2022-10-12,"October 28, 2022","Run Sweetheart Run","Run Sweetheart Run",https://www.imdb.com/title/tt8656686/,Movie,5.5,104,2020,"Horror, Thriller",7972,2022-10-28,"Shana Feste"
3,tt9000184,2022-10-12,2022-10-12,"September 16, 2022","Goodnight Mommy","Goodnight Mommy",https://www.imdb.com/title/tt9000184/,Movie,5.7,92,2022,"Crime, Drama, Horror, Mystery, Thriller",16527,2022-09-16,"Matt Sobel"
4,tt21293078,2022-10-12,2022-10-12,"September 9, 2022","Flight/Risk","Flight/Risk",https://www.imdb.com/title/tt21293078/,Movie,6.4,98,2022,"Documentary",840,2022-09-09,"Karim Amer, Omar Mullick"
5,tt11464446,2022-08-25,2022-08-25,,"Anything's Possible","Anything's Possible",https://www.imdb.com/title/tt11464446/,Movie,5.7,99,2022,"Drama, Romance",1812,2022-07-22,"Billy Porter"
6,tt2597804,2022-08-25,2022-08-25,,"Don't Make Me Go","Don't Make Me Go",https://www.imdb.com/title/tt2597804/,Movie,6.7,109,2022,"Drama",3875,2022-07-15,"Hannah Marks"
7,tt9098938,2022-08-25,2022-08-25,,"Sharmaji Namkeen","Sharmaji Namkeen",https://www.imdb.com/title/tt9098938/,Movie,7.5,119,2022,"Comedy, Drama, Family",11356,2022-03-31,"Hitesh Bhatia"
8,tt15361028,2022-08-25,2022-08-25,,"Jalsa","Jalsa",https://www.imdb.com/title/tt15361028/,Movie,6.6,126,2022,"Drama, Thriller",7047,2022-03-18,"Suresh Triveni"
9,tt3706352,2022-03-09,2022-08-25,,"All the Old Knives","All the Old Knives",https://www.imdb.com/title/tt3706352/,Movie,6.1,101,2022,"Mystery, Thriller",29575,2022-04-08,"Janus Metz"
10,tt11286210,2022-02-10,2022-08-25,,"Master","Master",https://www.imdb.com/title/tt11286210/,Movie,5.3,98,2022,"Drama, Horror, Mystery, Thriller",6064,2022-03-18,"Mariama Diallo"
11,tt6462958,2022-01-14,2022-01-14,,"I Want You Back","I Want You Back",https://www.imdb.com/title/tt6462958/,Movie,6.5,116,2022,"Comedy, Romance",24990,2022-02-11,"Jason Orley"
