Title,Year,Genre(s),IMDB,Rotten Tomatoes,Metacritic,TMDB,# of IMDB Votes,# of Awards,Gross Domestic Box Office Sales ($),Media,Origin
Pulp Fiction,1994,"Crime, Drama",8.9,92,95,8.488,"2,257,639",Won 1 Oscar. 69 wins & 72 nominations total,"$107,928,762",movie,Foreign
The Amazing Spider-Man 2,2014,"Action, Adventure, Sci-Fi",6.6,51,53,6.5,"548,517",4 wins & 30 nominations,"$203,605,622",movie,Foreign
The Shawshank Redemption,1994,Drama,9.3,89,82,8.707,"2,945,396",Nominated for 7 Oscars. 21 wins & 42 nominations total,"$28,767,189",movie,Foreign
Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",8.6,93,90,8.2,"1,469,927",Won 6 Oscars. 69 wins & 30 nominations total,"$460,998,507",movie,Foreign
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",8.5,93,87,8.317,"1,331,577",Won 1 Oscar. 25 wins & 25 nominations total,"$214,077,472",movie,Foreign
The Breakfast Club,1985,"Comedy, Drama",7.8,89,66,7.743,"444,599",4 wins,"$45,875,171",movie,Foreign
The Goonies,1985,"Adventure, Comedy, Family",7.7,77,62,7.5,"304,353",4 wins & 7 nominations,"$63,711,145",movie,Foreign
The Silence of the Lambs,1991,"Crime, Drama, Thriller",8.6,95,86,8.3,"1,576,126",Won 5 Oscars. 71 wins & 50 nominations total,"$130,742,922",movie,Foreign
Jurassic Park,1993,"Action, Adventure, Sci-Fi",8.2,92,68,8.0,"1,085,603",Won 3 Oscars. 44 wins & 27 nominations total,"$407,185,075",movie,Foreign
The Lion King,1994,"Animation, Adventure, Drama",8.5,92,88,8.258,"1,164,125",Won 2 Oscars. 43 wins & 35 nominations total,"$424,979,720",movie,Foreign
Se7en,1995,"Crime, Drama, Mystery",8.6,83,65,8.375,"1,833,511",Nominated for 1 Oscar. 29 wins & 44 nominations total,"$100,125,643",movie,Foreign
Toy Story,1995,"Animation, Adventure, Comedy",8.3,100,96,7.971,"1,089,101",Nominated for 3 Oscars. 29 wins & 24 nominations total,"$223,225,679",movie,Foreign
The Big Lebowski,1998,"Comedy, Crime",8.1,80,71,7.844,"871,235",5 wins & 18 nominations,"$19,301,403",movie,Domestic
Saving Private Ryan,1998,"Drama, War",8.6,94,91,8.2,"1,522,377",Won 5 Oscars. 79 wins & 75 nominations total,"$217,049,603",movie,Foreign
Fight Club,1999,Drama,8.8,80,67,8.438,"2,371,394",Nominated for 1 Oscar. 12 wins & 38 nominations total,"$37,030,102",movie,Domestic
The Matrix,1999,"Action, Sci-Fi",8.7,83,73,8.218,"2,087,394",Won 4 Oscars. 42 wins & 52 nominations total,"$172,076,928",movie,Foreign
Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",6.5,52,51,6.6,"871,280",Nominated for 3 Oscars. 28 wins & 71 nominations total,"$487,576,624",movie,Foreign
Gladiator,2000,"Action, Adventure, Drama",8.5,80,67,8.218,"1,657,460",Won 5 Oscars. 60 wins & 104 nominations total,"$187,705,427",movie,Foreign
